Date	Start time	Leadtext	name	org name	episode nr	Season number	Widescreen (16:9)	Duration (minutes)	Parental rating	B-line	Category	Country of Origin	Production Year	Genre	Logline	Synopsis this episode	Guests this episode	Synopsis	Cast	Director	Guest	Host	Commentator	Voice	Rerun	Extra information	Unique ID	Category Num	Last episode this season	HD
2013-04-01	05:00		The Moth Diaries	The Moth Diaries				82	12	Irlanti/Kanada kauhu 2011	ELOKUVAT	Yhdysvallat	2011	Kauhu	Kauhuleffa sis‰oppilaitosta k‰yv‰st‰ Rebeccasta, joka suhtautuu ep‰illen uuteen oppilaaseen Ernessaan. Onko Rebecca vain kateellinen, vai hautooko uusi tyttˆ synkk‰‰ salaisuutta? Irlanti/Kanada 2011.			Kauhuleffa sis‰oppilaitosta k‰yv‰st‰ Rebeccasta, joka suhtautuu ep‰illen uuteen oppilaaseen Ernessaan. Onko Rebecca vain kateellinen, vai hautooko uusi tyttˆ synkk‰‰ salaisuutta? Irlanti/Kanada 2011.	Lily Cole (Ernessa), Sarah Gadon (Lucy), Sarah Bolger (Rebecca), Judy Parfitt (Miss Rood), Melissa Farman (Dora) 	Mary Harron							2080878	1		false
	07:00		Turvatalo	Safe House				115	12	USA toiminta 2012	ELOKUVAT	Yhdysvallat	2012	Rikos/Mysteeri	Denzel Washingtonin ja Ryan Reynoldsin t‰hditt‰m‰ toimintaleffa, jossa CIA-loikkari ja t‰m‰n vartija joutuvat yhdist‰m‰‰n voimansa, kun kuulustelupaikkana toimivaan turvataloon hyˆk‰t‰‰n. USA 2012.			Denzel Washingtonin ja Ryan Reynoldsin t‰hditt‰m‰ toimintaleffa, jossa CIA-loikkari ja t‰m‰n vartija joutuvat yhdist‰m‰‰n voimansa, kun kuulustelupaikkana toimivaan turvataloon hyˆk‰t‰‰n. USA 2012.	Denzel Washington (Tobin Frost), Ryan Reynolds (Matt Weston), Vera Farmiga (Catherine Linklater), Brendan Gleeson (David Barlow), Sam Shepard (Harlan Whitford), Liam Cunningham (Alec Wade) 	Daniel Espinosa							2016484	1		false
	09:00		Tower Heist	Tower Heist				104	12	USA toimintakomedia 2011	ELOKUVAT	Yhdysvallat	2011	Toiminta/Komedia	Ben Stillerin, Eddie Murphyn ja monen muun huippun‰yttelij‰n t‰hditt‰m‰ toimintakomedia tavallisista duunareista, jotka p‰‰tt‰v‰t kostaa heit‰ huijanneelle miljon‰‰rille. USA 2011.			Ben Stillerin, Eddie Murphyn ja monen muun huippun‰yttelij‰n t‰hditt‰m‰ toimintakomedia tavallisista duunareista, jotka p‰‰tt‰v‰t kostaa heit‰ huijanneelle miljon‰‰rille. USA 2011.	Ben Stiller (Josh Kovaks), Eddie Murphy (Slide), Casey Affleck (Charlie), Alan Alda (Arthur Shaw), Matthew Broderick (Mr. Fitzhugh) 	Brett Ratner							2031300	1		false
	11:00		Sahara	Sahara				124	15	USA/Espanja/Saksa seikkailu 2005	ELOKUVAT	Yhdysvallat, Espanja, Saksa	2005	Toiminta/Seikkailu/Komedia	Seikkailija Dirk Pitt l‰htee L‰nsi-Afrikan aavikolle etsim‰‰n sis‰llissodan aikana kadonnutta taistelulaivaa ja auttaa samalla avustusj‰rjestˆn l‰‰k‰ri‰ j‰ljitt‰m‰‰n tappavaa virusta.			Seikkailija Dirk Pitt l‰htee L‰nsi-Afrikan aavikolle etsim‰‰n sis‰llissodan aikana kadonnutta taistelulaivaa ja auttaa samalla avustusj‰rjestˆn l‰‰k‰ri‰ j‰ljitt‰m‰‰n tappavaa virusta.	Matthew McConaughey (Dirk Pitt), PenÈlope Cruz (Eva Rojas), Jude Akuwidike (Imam), Rakie Ayola (Mrs. Nwokolo), Robert Cavanah (Captain Tombs) 								79500	1		false
	13:00		Unstoppable ñ pys‰ytt‰m‰tˆn	Unstoppable				98	12	USA toiminta 2010	ELOKUVAT	Yhdysvallat	2010	Toiminta/Trilleri	Tony Scottin viimeiseksi j‰‰nyt j‰nnitt‰v‰ toimintaelokuva, jossa tuore veturinkuljettaja (Chris Pine) ja vanha konkari (Denzel Washington) yritt‰v‰t yhteisvoimin est‰‰ katastrofin. USA 2010.			Tony Scottin viimeiseksi j‰‰nyt j‰nnitt‰v‰ toimintaelokuva, jossa tuore veturinkuljettaja (Chris Pine) ja vanha konkari (Denzel Washington) yritt‰v‰t yhteisvoimin est‰‰ katastrofin. USA 2010.	Denzel Washington (Frank), Chris Pine (Will), Rosario Dawson (Connie), Ethan Suplee (Dewey), Kevin Dunn (Oscar Galvin) 	Tony Scott							1969635	1		false
	15:00		Siepattu	Abduction				106	15	USA toiminta 2011	ELOKUVAT	Yhdysvallat	2011	Toiminta/Draama	Twilight-elokuvista tuttu Taylor Lautner esitt‰‰ nuorukaista, joka yritt‰‰ selvitt‰‰ totuuden el‰m‰st‰‰n lˆydetty‰‰n kadonneita henkilˆit‰ listaavalta nettisivulta oman lapsikuvansa. USA 2011.			Twilight-elokuvista tuttu Taylor Lautner esitt‰‰ nuorukaista, joka yritt‰‰ selvitt‰‰ totuuden el‰m‰st‰‰n lˆydetty‰‰n kadonneita henkilˆit‰ listaavalta nettisivulta oman lapsikuvansa. USA 2011.	Taylor Lautner (Nathan), Sigourney Weaver (Dr Bennett), Alfred Molina (Agent Frank Burton), Antonique Smith (Agent Sandra Burns), Maria Bello (Mara) 	John Singleton							2000829	1		false
	17:00		Immortals	Immortals				110	15	USA toiminta 2011	ELOKUVAT	Yhdysvallat	2011	Toiminta/Draama	Mickey Rourken t‰hditt‰m‰ toimintaelokuva, jossa Zeuksen valitsema kuolevainen Theseus taistelee h‰ik‰ilem‰tˆnt‰ kuningas Hyperionia vastaan, jotta t‰m‰ ei saisi tuhoisaa asetta. USA 2011.			Mickey Rourken t‰hditt‰m‰ toimintaelokuva, jossa Zeuksen valitsema kuolevainen Theseus taistelee h‰ik‰ilem‰tˆnt‰ kuningas Hyperionia vastaan, jotta t‰m‰ ei saisi tuhoisaa asetta. USA 2011.	Henry Cavill, Stephen Dorff, Luke Evans, Isabel Lucas, Freida Pinto, Mickey Rourke 	Tarsem Singh							1999480	1		false
	19:00		Miss Bala	Miss Bala				113	15	Meksiko draama 2011	ELOKUVAT	Meksiko	2011	Rikos/Draama/Trilleri	Draama nuoresta naisesta, joka haaveilee missikilpailun voittamisesta. H‰n sattuu kuitenkin v‰‰r‰‰n paikkaan v‰‰r‰‰n aikaan ja joutuu h‰ik‰ilem‰ttˆm‰n rikollisliigan armoille. Meksiko 2011.			Draama nuoresta naisesta, joka haaveilee missikilpailun voittamisesta. H‰n sattuu kuitenkin v‰‰r‰‰n paikkaan v‰‰r‰‰n aikaan ja joutuu h‰ik‰ilem‰ttˆm‰n rikollisliigan armoille. Meksiko 2011.	Stephanie Sigman (Laura Guerrero), Juan Carlos Galv·n (Arturo Guerrer), NoÈ Hern·ndez (Lino Valdez), Irene Azuela (Jessica Berlanga), Javier Zaragoza (RamÛn Guerrero) 	Gerardo Naranjo							2053328	1		false
	21:00		Rampart	Rampart				108	12	USA rikosdraama 2011	ELOKUVAT	Yhdysvallat	2011	Rikos/Draama	Vuoden 1999 Los Angelesiin sijoittuva rikosdraama poliisiksi ryhtyneest‰ Vietnamin sodan veteraanista (Woody Harrelson), joka k‰ytt‰‰ usein oman k‰den oikeutta. Mukana myˆs Sigourney Weaver. USA 2011.			Vuoden 1999 Los Angelesiin sijoittuva rikosdraama poliisiksi ryhtyneest‰ Vietnamin sodan veteraanista (Woody Harrelson), joka k‰ytt‰‰ usein oman k‰den oikeutta. Mukana myˆs Sigourney Weaver. USA 2011.	Woody Harrelson (David Douglas Brown), Jon Bernthal (Dan Morone), Stella Schnabel (Jane), Jon Foster (Michael Whittaker), Ben Foster (General Terry) 	Oren Moverman							2031311	1		false
	23:00		The Moth Diaries	The Moth Diaries				82	12	Irlanti/Kanada kauhu 2011	ELOKUVAT	Yhdysvallat	2011	Kauhu	Kauhuleffa sis‰oppilaitosta k‰yv‰st‰ Rebeccasta, joka suhtautuu ep‰illen uuteen oppilaaseen Ernessaan. Onko Rebecca vain kateellinen, vai hautooko uusi tyttˆ synkk‰‰ salaisuutta? Irlanti/Kanada 2011.			Kauhuleffa sis‰oppilaitosta k‰yv‰st‰ Rebeccasta, joka suhtautuu ep‰illen uuteen oppilaaseen Ernessaan. Onko Rebecca vain kateellinen, vai hautooko uusi tyttˆ synkk‰‰ salaisuutta? Irlanti/Kanada 2011.	Lily Cole (Ernessa), Sarah Gadon (Lucy), Sarah Bolger (Rebecca), Judy Parfitt (Miss Rood), Melissa Farman (Dora) 	Mary Harron							2080878	1		false
